,137,1143,1191,1199,1200
76,41.059002,32.917,30.652,35.404,34.919003
77,40.477997,34.0,30.108002,35.514,35.149002
78,39.89,34.121,32.172,35.222,34.976
79,39.629997,35.132,30.303,36.397,37.151
80,38.663,34.038998,31.497,34.623,35.346
81,41.101,36.042,31.813002,34.375,35.896
82,39.326,33.746,29.087,35.367,34.593998
83,39.217,32.448,29.305002,35.064003,36.805
84,37.639,33.705,29.124,34.43,36.722
85,36.851,35.033,31.121,34.701,36.225002
86,37.139,35.382,30.185001,34.646,35.835
87,37.114,34.238,30.079,33.733,34.512
88,37.728,33.781002,31.213,33.484,35.323
89,36.795,34.871,31.733,26.380001,35.605
90,36.663002,35.585,34.235,27.438,34.59
91,35.79,32.583,30.272,29.748,34.131
92,37.072,28.187,29.661001,24.873001,35.677002
93,35.704998,12.43,31.124,24.489,32.699
94,36.237,14.042,31.623001,28.978,35.69
95,35.615997,19.097,32.397003,30.966,33.365
96,34.927002,29.332,30.935,28.925999,32.998
97,31.911,32.091,29.936,26.432001,31.497
98,27.867998,33.31,28.991001,22.941,25.692001
99,32.404,30.763,31.278,23.936,31.213001
100,31.617,31.4,30.13,26.489,33.202
101,29.085,31.619001,31.677,25.925,33.577
102,30.16,30.803999,28.524,26.142,32.843
103,32.265,32.474003,27.968,30.019999,29.51
104,26.165998,30.496,27.488,31.268002,28.493
105,27.859,29.195,28.753,26.516998,27.657
106,30.717001,30.028,28.039001,20.299,26.75
107,32.463,28.661,27.944,27.514,27.18
108,33.003,28.911001,26.216,29.233,23.463
109,33.263,27.948002,28.475,31.887001,19.771
110,34.015,28.135,27.919,31.597,21.876001
111,33.596,29.423,28.896,31.691,26.439
112,32.966,29.689,27.864,32.765,29.396002
113,34.8,28.821999,27.022001,30.380001,30.98
114,34.928,28.742,26.518002,30.598,32.31
115,34.644,29.801003,22.956999,28.553001,30.098001
116,34.928,31.495998,28.757,32.603,32.247
117,35.093,26.471998,26.504,33.174,27.314999
118,36.206,30.405,28.789999,32.571003,24.975
119,36.481,25.978003,27.036999,30.166998,23.764
120,35.86,27.382002,27.34,24.032999,25.406
121,35.565,28.767,27.132,21.41,29.674
122,34.443,28.106998,28.033,29.428,31.794
123,17.412,27.427,29.579,31.925001,31.786001
124,30.853998,27.872002,28.26,33.034,33.172
125,36.591,28.883,29.959002,34.437,34.112
126,36.334,30.267,29.846,35.748,34.445
127,34.042,32.017,28.73,35.065002,34.83
128,33.44,31.369,31.48,34.938,33.85
129,34.432,32.973,30.368,33.374,35.188
130,37.566,32.263,30.511,35.466,35.768
131,37.523,32.452,30.8,37.559,37.821
132,38.737,32.643,30.195,40.015,38.502003
133,40.189,33.896,30.128,39.069,38.873
134,40.889,35.254997,31.713001,37.983997,38.508
135,40.802,32.253,30.805,38.756,38.044003
136,37.656002,32.023003,29.695002,38.752,38.855003
137,41.237,32.982002,29.596,40.208,37.806
